TransID,CustID,TransTotal,TransNumItems,TransDesc
29,391,1223.6642976089965,7,VoJFKubCeAfSNqMzlCkHHDBGAmSNGKAafHmVhmk
30,155,897.0172519718561,9,hkFVhCswiAIDjPTOXvgOrBrHPXIjFJliuCrnPexzoCbKIM
31,437,328.5882688341859,10,XYFOCMSEJFmzdxaACyUqHetODIGxqKHKfXsHPiPHqELDp
32,383,358.3173932230805,15,vhOhQigEFCeqACJtBWeVaSJWuXqcMenk
33,266,600.067733339747,15,ySZnGXVEkZgmQiHfpVap
34,254,451.3131628921071,5,zmOkfFucxkPWonJWbOAl
35,29,909.7541656904798,8,leITCdHqzghAgjrRlwAFqKwPuzZRVJasbJ
36,472,210.74640363543102,4,jYiQCRZWLMFHybCWSasaizKcIv
37,1,393.5252794922905,1,MjnpRWleGKsHAWkMjjenGQPFKTiSnwxxy
38,187,1723.2205465930078,9,hvcJIXSTtKpdleTRDMOtzLoGnICBJrurUndKnYzWHfU
39,204,956.7806543399358,15,tqIPOPBGkDhioYJTVKWloiqGmWI
40,197,1533.5991531611426,12,hmIXPHgiVlNhbQEZrmmLvVRbTlAlIAFXuygUJWul
41,264,151.83859491782786,5,teaeXBGYDcLkTSAuUQVeGxchmLyegdYbLeJcCqPXAnSJixUK
42,30,595.4036502060936,12,deydxCJSDsJPcryraCMDQejNVb
43,332,1423.7233911041026,12,QKeOesJyfDKBehHuEujtiLL
44,387,1554.0565737708764,15,gStBcKCdWqXryCFAZPJpjmSFPQZheksFLk
45,277,331.672724623733,13,zIbSWlYqukwnfoKuhnDURYfBRpLUDoOZ
46,58,1519.2589762333405,14,aCVNBSWrigmRHSBQGLohkE
47,152,873.1093494469985,14,AuWUcmaedBFjIdeaVrFdoiCmEkEZDqygRwHNmEGSbzQQd
48,248,63.374426968368205,12,yUdThLGsRoOmyXMktBXReeFtqRcGI
49,17,315.9535044973449,1,zVnIULnBNEaacoOiairjTqmr
50,173,644.5693134583616,2,oeinsFRaFzBehmuxwTzSMmQinPppxypjs
51,261,1387.2061077392352,5,YeEfVumxEFDHjbXpgGGdinqtxuhWgTdKxehneekqW
52,198,1830.1977015702826,8,GoRhgyKCZwmnOpQoFsUcLqZyzdRCRN
53,246,741.5089196081223,13,NKefDBbyYipnJjtmEHBoMMiglRTWpqByTqzJBWueDvjOcPpvS
54,424,940.6601546198202,3,OtJJrGTFmXbDaYQpTSbkGaAEKR
55,43,813.4118094906511,11,kAxOptuQpvRRSbdGSYRdLzBdVIpuviZdIUUiuL
56,468,1995.4881432420275,1,fenstOCgrJVXzSKMJQwPjQuTvuqDxqT
57,234,648.0432580337553,7,SDeitBctneSdPcEGWnmS
58,374,204.903399769724,12,QlKbgvmJRrqyPMRUOzlIJFlpPowkTV
59,52,857.9384932651607,14,vOasmAQNklktkDhipzsknUlBExhtQ
60,478,1548.842873378943,5,XVGjbIDxZbMVfQGNNxyZZh
61,111,369.33527923335316,14,JJYkuIIqsmwVQxYvOKrubfSMadsnQiEEmzjIhv
62,444,1629.7942026199373,5,ucuzBZEIhSesskPmZaEjTEXRC
63,496,209.94110183560574,15,kbZJrhwtqXgSeIOJhTwk
64,366,1534.0121904032887,1,cyeNtTiAQkKUsAbuMKlRtlZYoKHRV
65,431,1370.5715620197263,11,ZyScgbYtVozvdUGzqwLkfwmULehbtPotXAsmPyezGupjP
66,168,691.2944387463126,5,YgFRqOuCTxvIZkkrqLDWABhEUbdIWWiqQVzeFfw
67,342,596.3506635204766,10,JjQijATcmswptWKDrmzIPziBTHA
68,375,1230.6839370635507,6,SJHYQlUESIecrQqMmCmYnjgV
69,228,1091.745557236793,5,EBtnGQRnvFDEfljWyfphEYTnyqchdOFrdLhwcTeuF
70,483,633.1297575797774,14,wiQAlUmXOPPaATewqJAsJeIrBdvjdVI
71,452,936.5918339163683,8,nxnSFDKVTGhqzRIznATOIXZiTAniGVPesjvshWCeYRDYBL
72,463,1595.6745947593076,2,MFImgYohodMiQbJePHlHI
73,43,1431.1614598965214,13,XBoOrnnRXGxDGFydQBzMqF
74,318,1949.0695241262642,7,XWxlgpugNqwTcfJSvkfbIpBXFfJHnKftCMJZGcXb
75,55,1629.2759414310608,12,PAhrcRXXFSpJdtoQdBwzVWBXr
76,212,942.0073413161474,13,DlSiCiolNpNZDgmFtPgctLDCDZCHCk
77,119,1109.1119271329833,3,hVKKHbgAPOubJKIayIEjeJinSkAR
78,274,1814.441730766937,5,lUZLQAsmDXQAdrxQJptIYAGiFpGnBCxOOfgxFxnESjSDdXv
79,175,481.52984245908664,13,wFgnjAjRcnOHlFpzdVskdrBhDtTvzEFWMfSqR
80,320,729.8087434286281,3,XzJxzsGjldHoLaEKHJhqetLxLXMyiKjzEoIbdUgXbf
81,174,289.37467499160925,14,bUhUOINvuEMLkHlzbLrIJMjKjKUKWbauHHgs
82,180,1411.26466271496,2,hkzHVzkvPmERjoWYCSNKPPaGxjWA
83,295,647.7847690235053,3,CJRdpjzDWtODwNsRoegulUNnUBHsuvrZSbldADU
84,443,1492.7274502320286,9,MAhVpLaBIjYvnHtCPjbgPoqFQuQVQByMjqtNUzsutWkdrQd
85,261,911.555134585058,13,reaGIlAGhUXwNLkqqQLMhcBAnXzrxGxYbLOXCwIEzCQ
86,108,1259.5356195471777,3,bgUQlALMKCDLzQmYzBuVkVyeFmwvcJSbMuDlLFJCDdLiDqaR
87,118,1271.7316461198466,11,IKmskIQnRQSkxxRKlqjzpEKwvYQQqtTkYTqN
88,201,768.9371452526212,1,nCfxjspbwprHeZbGnTUTgyYmutPiugyQSopsSLqpekBUmY
89,315,770.0053325290202,14,iPEQjUcIRjKzXmtBgMexYcDQfvNYUtFgArUOIVqBZxqMampxW
90,81,1772.171864804361,9,xJzyZLcGRgEBFIquiuwIcxzhpLwHjCJAF
91,186,1307.880607206689,8,TUlvvsQKJkjqVppwBYoTjUaKoLXYI
92,447,1722.0105286551868,15,GBLQpNSQlsukUUrFCnQWjfSDphZMcdZUnFSlqwKidrKUCC
93,40,1199.6020459651124,14,rMgrqDJsfFMYFpfimcQmwmqobVUzdsmMNwvL
94,154,746.5406215471742,9,SivCkRcrDIBpbKYXkCYffMMEztLwiJSKTnBPYiLer
95,410,323.14532177853596,7,MhGtLIvlpaIzdKwOoqOQsuZlqdfGDIxBfmFBfwndOrkvLawrV
96,355,365.23531894201955,7,oPKtPIdrSdgzbDFbuDPdDnvZsCRMoDoHRm
97,355,1050.675546764367,3,ylxfwqOnkkUBRNXEMTim
98,494,1070.7706208373124,11,WTYXFqldDFEMhPNmtxzymoEIenS
99,247,585.3254593773927,2,ucaAjZWvbIrgHgcDnbYnQzSyCETfJhuuMVmtgtXMMOJF
100,221,1061.4422992794023,8,kHkBSPFnaMqLwjRHRPfaDTuiP
101,177,1552.9850690079325,11,SLzaRRCergIDAPjHgOsLQPKfnrsXKLe
102,126,1199.2521236787459,10,rIRpAJGidFSqElVpOgAY
103,196,343.1755570260829,9,xWkpFVihXRxnGVrKzeLrVroEqSRN
104,415,1756.4401266655848,12,MBDMrphsNHfUzLAdmWpphrk
105,332,1727.7819825364559,12,PBeYBwuliKQyzJRmWeSKDX
106,302,1153.0508088326028,3,flyfKbzkkDpLnrFqyhRHFmlMygBQyfrkVeMlTvp
107,138,1810.2686001135073,11,PKdetbxuJpoENxeqzDmLKTCdcJIgwlQMtLSdp
108,117,1709.8649981692727,14,qOkQrquoBfLRpuvAUMYiXOae
109,78,491.0358062676375,5,GMcAPpVKiZfJrRcqnmwaRBoCkcpkChjl
110,265,1937.055651186847,13,FWHCfrwAwRsdPKymfLquMCPptiUoZM
111,310,1549.830123223128,14,nOYSqejiSBytvuTHUVUFSDqm
112,109,1115.9754541993143,3,IXetSiCHMnvcoIcxXxsIVNCtMjC
113,250,926.6409199365277,9,bNlAPuNTqaNJoeuvNEnKUwQLamzqeUdrXPXgaVecKbGT
114,169,1916.5319194504902,4,hCHSqXsExgVLFQiEnMKCnghBWSOMo
115,392,509.0751069170489,14,rqHXZQdsCNRUKNcZDgcPEbxIuLlT
116,184,1245.4884165007152,5,PdTavIbvhublyIWQFcEhFskSEMqzRadPGzqScGnLKPLhkqo
117,78,1712.4510967746821,7,mqPLImjjgVRFmmzrfMJnpLgU
118,76,1764.5060406809177,6,HeVnGNpfhWMWNMhYixtePfxBepHBrLLrImEwgsBLBJW
119,36,222.32441635783033,15,eEOHpvDZXXYZbqgdQlCaHjXfxwZASXfNdswvTraykFgRYo
120,176,1844.6903204955422,8,mHBxTrDfnsybogaiAiIVuWygWKysBoyMEvf
121,393,1841.6035134717736,2,PpqhyihrzjAdQfBRAsAhPCWRJWyPyfsaOHoCYcaeXwNqyMTZP
122,358,1857.3790315608076,13,UnPTSoGIOmYgiYdFmybQrSgznATegPDqyDtBDMCSoe
123,52,1728.368433682175,14,ZfDjeyBuABnbQgoLkbPeZMFtXRQDaBfJIgF
124,140,649.1089152420141,12,UzdpSZaJvSoufWRfMVrKKUvKhQewwFELUGFnClkspOdrPOe
125,43,1875.1484725669318,4,bXZyfjQbRDXFghTzljunYwGNwhhCQHrQn
126,415,1000.0005730960231,3,UBrNGLCdrNYZhqPAhWeALYcbKKXgrqHaIwxKGJKIUuhHRbrxd
127,481,1390.0527956138358,1,HPwAmxtPRQXMfmgtvAgIzDgipNrIPiQTFHHhtW
128,436,1727.2604097210567,6,vmEPDdOIXALHvrRSdmajDXVsWUKrpMahtNcaswusMlg
129,149,1285.000979578736,7,cRCBWRPtvbbSDrmIXzfYqfcHbBkvlzMoVBwQBpl
130,394,449.5962265681126,6,DxKsNCLSRVnroWgGHMdeVBadr
131,389,1524.108288382031,1,ZUDZJZjjKYHaYfutwBdZitSBLdwLlIEUg
132,309,1751.039872586098,9,PtLGcJnndPtNmxloXwvSWphRmpOVu
133,106,116.3189662117996,4,xRdLbzQkKbTSRBtBtNjCUgHwHaqVvhM
134,490,1970.5562525619575,9,MKiziMazjOVehfVwUmpXWdVjiYGIcxKlmnvXGGCnhCRP
135,11,86.71985671844972,3,OxLuyTxfGkGZGVgiCilMqiQTamVXjgoF
136,165,1740.9905100171022,14,caUuxGdrFPykenmsRnGdbXyMRqVtJzYLuydqcAi
137,254,162.13801121634214,5,NQNvKCurAccTauMkxjPRAKXKVyEC
138,488,1421.4369757962163,12,lARilkrsjvBiCZPxCJjwhXiMIGikvAXXdSvKjlF
139,56,1912.917270638208,3,RVrEYWLlUYehZNXGINahCHu
140,414,290.5582432560102,13,InYIsryfwnlCrMRZbhcEKwtN
141,383,1280.8982335356466,6,ljgVDaISYSDlzlRugAXtsUG
142,241,346.22222119951346,7,HHJUxNbdgaGcMNymmDbhYINaLEkyR
143,77,1567.768328221884,2,MNpXztFChNjhmhXSppSf
144,433,270.7701094861466,13,gHHSMoaetRHiwEeSQOThX
145,363,1929.7048901090839,13,nKZRzDsonXWKlXYHCOTNuNhjemdCKBaUBcadpsRjoKefbjhkO
146,444,1005.6019088043532,10,DmxzSOLbcIQULVwvgMknVAkiQ
147,354,792.6269378003368,13,gDWGfIqSeLSzCjOxLzmfgwI
148,133,1214.5615752948243,2,KxbnLOsfzAjylEEJLfBaPe
149,213,1815.5462442534647,15,gykfLPrQvGsLrZUNLSWNkWsUVIiFHeKtISDUnKvNf
150,119,1118.3340074014409,15,dHkQpkNOslchGruevjAkWvsszmcGdeWNFGYQuhCbgPop
151,151,16.963039927663836,7,dlyPPLMklKxjDmkIFrcOThipPLshUKUtaXjMORlKCvuBdhOz
152,247,1670.9128572967422,5,OzONzpJoqxlsOdtEOFXp
153,74,1983.9881527785744,8,wlsjOWpaXvGnXoUrlDJYcTzqAYsmKLqGGZrKlsxQKCzYhxPY
154,423,408.9496084703916,5,BEiPydGQvrdujYgoeDUfqgqHPtENecfQhXkdcTEWxsWACheeT
155,109,822.9555900262633,1,vcIQKkeqFjWCMMUrCaudlkJiAOYgzLczkrsCiwoMfvI
156,353,521.6058417604088,14,hiEBGStCyaKRVsXtlNcvhpdGDrOOqBmdGXkRztpai
157,361,794.6737702047851,1,TeEDHmXmvefAtLCCezNnlnfhCMWgiWXSMzDbkDdRryTBbb
158,72,50.42408634593711,14,FdUmkjQDCjXSefRzwgGMPGjIPMcmJBxjJBUlNNWMxDpwixh
159,434,801.485818360145,13,peflqJTbPJkYxtGxKpFsvINmWCHguTxemHjng
160,80,912.89001164883,8,ZVBjEaVyjLdpnsgqEmvVAQlYewohrXITMRP
161,484,678.2438009605811,6,byTLtUTFdNdLRHuiJfuBdCxrzYfTvJGvhUJlHimOcBUjLEn
162,374,87.81168625762909,6,cpYhNOqlzxQiXJcDmVUttwdEYWThv
163,368,1905.8368494516226,2,yplmYdiAQQGKUVlozIuLjVNSVohVuyWhHICKmtw
164,212,1971.9615827449352,6,GoDbfborqXnMJyTFGYCZLL
165,480,1416.2650921657948,14,yzwdGumxShmsJADTkGIXGUBWof
166,443,572.4017294142192,14,wZdFLDEPtZLrUASTVCDHEKUlFznREDNNTuZjapDaTvzkjI
167,312,1513.421389325705,10,lUVdWZSoZpHxjzVkXbPNxSMLk
168,120,570.9495187028052,5,oUiJgNurOswzJqbgkZWzIZo
169,420,1014.3763123698983,3,GRKcYfGNdqPfTnebCeVV
170,375,431.845787953035,14,SSyvqaIPlmNeNOTetrzx
171,54,1301.3562444790957,12,ftGBUSlqwspUEbogBNBralXOdArYrd
172,231,919.9933641544335,5,pjLMhDmmQoSRzstPJwYNuZrJEtsE
173,153,1109.6061471197065,11,pVqbipiMtezROicqoETZIdZFmEdgtnsnzeV
174,418,740.7692403737364,15,rKpjgrJSebLrkSgzDFZBlHPPZHjDaLquy
175,66,1661.6855169961266,13,NtoIVzoMXDAxTarfOxlRUJwTlEyHFSunatjhzKshpqOiiXdpiw
176,210,83.45601982141672,6,PgfxdmQjTQBwlSvQkhxjwmugntzTCkG
177,192,652.7266718676912,15,zrDcTfPYabvIElTXoXWqClrpIrUsbNGZwVSiYMUiocZkYSWCd
178,196,1698.98288009222,5,AvBYxjiWgHUHIJbenrGLgXd
179,336,1293.056448640652,9,fPjYVOJlGUzBzVHsOKLsDoSWXrSudVbcVdgDKEVoYpVbMsJU
180,498,1277.6098090527714,1,AXFriOzSnjUvMmRcGwTaBwkCfq
181,83,1175.7823370003039,8,aYHpGbSqErjDknGsPVxpvWhgEjSHyZgxIcmbIkzeFIt
182,309,694.5456766384091,9,ACmIKgjIceTaxgHJYLYc
183,15,301.8669266292645,10,bXVZInFpPQvGTeKkPIlzqTPHvFwpgGQHml
184,477,1658.0360759320768,10,hNsZwYSuBBpAQlgNfhQzGvJvkmN
185,230,608.237050519439,11,ngqshPwkdjgCOOzezXrWYqxCAtyYGyUmqfalPZLjaRy
186,65,27.730699598870213,10,YoVmLwCSHygdDJYDavqhPSoWLkfzvczk
187,173,55.910621508095005,12,KunmDnCbBwwPnBzEJjLzlPEHOLVWtpMdTnkgkjon
188,150,360.6899418582843,6,itBDFqmDKQiIikdMxRHGEkPmyQycFZL
189,183,1538.5557778723833,5,XKjLjNGJEOvgztEUBwLNfvFNfEEnOSMrGCwjItE
190,262,1654.7096762164979,10,jLBzAqMnnHYCpQaVGCPGsZOLljILXY
191,136,1357.2403450014788,14,oBDxTFjTZecSXqgnJtwLocbsHMZibNnmSWoIXibDQURNWbkO
192,357,389.5540493277965,4,cKptdtnOYFBRtuOvWnVzgIZjwtqkZgIRTruPanEuop
193,354,610.5530791878399,13,XtzuKNNUxuGJlFXFyGWnfMYDalimiUeCQdN
194,431,1578.491913408678,14,csyygPoDqKsLlYEXRrdPZyDh
195,80,1530.57047471851,7,ZRLLMxztgLxVzwQbGUDxUXpSWjiFPNmFbhAZI
196,400,1119.5338336624443,4,auGtYdbjHqMgDOFDDRTwqYGKOuHQkkfHfXJjVIzCOHHFzCiA
197,85,950.8876821507024,14,tOnxGlUqcHwkImzVLGDshevsBaRHXjKGyRXzCKYxrZeXbYOu
198,375,912.707234341288,15,nnsYRtUnwwBjmmfTBHzkUkekyPQtAYzIwVARYkqToBUlrjJb
199,138,1525.963695903192,9,dPmoKifQBPWwrzMpWewDeftiUiXNOPZPdchFwwoRpE
200,71,258.0217988334125,3,HwlzRyrlukmfVkUUgsCehmxWglVFywFlVJRvpJCpiOneFsK
201,90,383.6353996813864,3,oFmOklVMTdiGzYxQdibUqSobq
202,153,1853.9208432124974,14,PRWHBAyQrPcUPGgrNnqRjIX
203,398,502.9251972542316,15,cfxCrsLSnzHdpZGroUzwfMcxhFJnmpXLEL
204,56,696.1822754798266,2,WGuiyZBfWROeAAgXgciwyJtGoC
205,337,254.13379513995645,3,gCVtWzWXLAyKLwlFVhcbbJCwcnCoSqGoVbNYWXFmW
206,155,114.21903298116777,9,adfrTPlkuzrtWnJtpnecsVeANDJQchsBmtXbpOLGXqXHOms
207,317,914.5900676372016,10,xoLWjImAKKJicbhOMxuiZCuHnUtfvDp
208,478,1925.5861480377155,6,voxmFpLNbZmECfzguBzwTSbZTmrGZr
209,196,1756.3725820622294,2,TdqEeYEhWtFlZSpejpgw
210,337,1956.7405486558705,1,xTjQOViTQfVqfCpWLQpChdHGJfLLZTJSzglLBycgBiaW
211,69,431.74043539851937,1,zznjLdCVzvCykVTsBMdsKXOgnpIIvPXBABxBhBbBZi
212,278,1110.48109108786,2,xpwtyPjWPSHjQHTJNinlVTkSGULpSpyOqcFUP
213,67,77.34635385344244,5,GdAlIXPcElVOwrixoDcaafq
214,35,1696.9938220808597,8,SNuKYnGatdOnqOJpVZSJYYWFVLeDEgLyUXXiGmFNGKGb
215,38,1869.0116220064642,6,NjjtQfHkvTroChdWHDbRYTILwDcxKjnpvfEht
216,3,1703.3933637845862,2,dmOihOckTaPPrIdaEntbermGegfWWWbYAhxO
217,92,785.5578424186493,5,GiItiWiEUuSohxSzLPfDmUZjEeQvWKqfOJkTLdgmrJBEMR
218,491,1155.5034788477576,14,uELCpmYvLQGUvlfADGXaqdKXfCbPdsZsgUidRuHEQyvOvhAZo
219,254,1716.8138492204178,5,qCHQBRNhzVcNlWcPcIkbQCnNJvLMHCb
220,54,206.6038548566762,5,kQIOalgyLTBrEEtrhOlDb
221,338,1674.2789740138328,8,uMorkMvgwQTQjIDwUHHoHXOGmhLPpfsUyhlzCElFCLi
222,55,1371.6690574509043,11,SJMiPflKqjfBOttJjfwz
223,424,1660.4523597094337,6,ANIjvHQsSLNjInEKXSeVztDSpadWwLbAsobKTq
224,454,102.87970052088853,9,JxYLmTnJQOsDFywlXSBV
225,146,374.44505751383656,6,rAIeGeQugiWuFHfTuEBeESbpEseLXQWhETVZwXgUCugNDc
226,489,441.38385802964035,6,qWcTNSvDBJheMuiMOHBrpzlmcQSdIuWy
227,57,1637.2936902883473,15,KcHZFTYGgEhICaINipzTOeUl
228,418,1148.899122485348,2,VvGbEhqJvBiFAZDsyBpm
229,453,911.0307061580812,14,dbcXuPGJgYNQznSTwUvymhJSTinIUADAgWMUJj
230,431,523.5470663538949,9,PkxaaUGzkFvjZdrZMmHeLeqhYRhsWMXDjtRPzrVMjdEahXdMAM
231,246,236.14860913040988,9,XVQpIJALnqZQiGpXzNCEpPFbqNwGZBB
232,83,713.5701852461149,14,WuNQKGASSkDuIaoapEWOJJeNxLnCgoriooAOnadQK
233,406,863.5990709720656,9,LdBjLFyTldwDhfSHTlIATtMK
234,150,753.4388298190216,5,FBPnMwodiVeJJYIJwHFhbKakdMqu
235,458,1593.8393331529137,11,AyLqQxGCHoZlFVPwkbCNfxozVwiTeknz
236,333,1697.062969187331,3,onRyjXnkslrAbmQUxQLRdkfFLN
237,258,367.7942357462174,1,XVZDiQiWiukwFKclCdTkHMnywP
238,277,899.5682752487419,8,YzQEBIvSpPRzltKMJemECllkUixDWTS
239,417,1632.5785126322403,15,rrttvTDxugsdaOzSxlrzVUrJXRFp
240,211,1965.4940615574235,5,bqXNMAufqwWKnPSbNLUaoNXuTKz
241,72,956.8859742871906,6,LwWfEmwHuMvZezuGRDeHAVpGYg
242,300,959.1249064457652,14,qCdtLOGHQHTNATIavklKmjAOAiLvtN
243,93,1731.1394540400984,4,ddKWPkvFMurfjNEpIcnWbBuomrjkctBorWxrqNYFjstknCCGF
244,190,668.3128663817639,8,RLseWRZiRvvQbcoQSjkhiTjQbyjghwjIukXTxdaZwCn
245,357,607.587065605955,1,oAtPYHxAbqgrwrBbhYMzPtTZPgjigeYIfxhaSfwIYTKCz
246,399,1546.7724006226633,4,qyYBLKtORtBBdcyiSWWXpQTm
247,310,1468.8830491223946,11,GsKnbFVRLAcBXiooiDyByyk
248,239,113.07268809526865,5,JhGDQJQLtYlymgDzqwkmhdmv
249,76,227.5731365489614,8,ImtnSwefCuloCNuJtyGEKaNVqCVQW
250,316,1176.1508825557355,13,FKnRbmVSfHdEQRSoBbnwLZcxGXbreBqReu
251,478,1670.1847701313009,13,RRAczAdDhcmWmFyIkyMXgwcJnBmF
252,448,1404.7421256283626,11,LFGicZQWuWnOmpwMEbxVefmmkkzSjmnIyXjH
253,156,975.7377091634546,5,GMJAifEMoUNYPVyqeIJYBlURAxoRQ
254,499,617.7633509939789,4,aAsJXDVweoijpnCCHAumtmkLfAeCMqnzlGDvPtCFDDJY
255,356,1856.4638393582027,6,vKtAuuXwKCAjiXXkvXcqzLRrS
256,439,1934.2866947369666,4,JejvsJzzwlwUvfwjJAsEGPlpaYNRAvaHziLUcXJJlLc
257,235,1719.2405594778763,13,fDbUKDermGWuBpcBWSaySMEL
258,479,1794.4116209968938,7,RfSgLCuoVIMyfDoKAetv
259,3,1366.9365267451208,10,vLaJLdsmLlBBMwyOgAKiDYZFHsLTfzY
260,98,701.8252880761195,13,LRioemoduycqROuXcSYrxUsIPmMlJksxmXoqqymgiPTzYtMFpz
261,247,193.26523526251,2,IoEKkoujSyjxtAeQmgHodynzZKWrzj
262,392,76.23039940759112,3,GGtUGiuiVLxZhXhMXcVBEtC
263,44,1150.968462519256,7,wWifYuwNUnUmqKpGdhDduzOFrLPz
264,406,141.53647237977682,8,vNnIJuMLFwDcNGqEGuLIVjayVdXsGMTZOcnTBLjsiwJyLKaQQ
265,105,457.17022799472966,3,YBadciWyVzjeklXuhFCxBocqQdHoyUPnXRdV
266,101,1128.199653784891,7,SGnldxxRvCuVswMVeEzQNxhEMCeprxVEXkbBRRV
267,357,417.19383692812437,15,ayCuMQLbwHcviySheIaqhEsnTusDrXuUEdMT
268,82,359.4086576554932,10,VglUAuhcbszLYbrmSTXDEyOzKOssSOuhp
269,241,307.471929723221,14,pKxajvOVKnfwCqOeueKjIrtSOaOdwPBPtmyMKdNwEgHkZzjyu
270,127,1574.9624694749793,12,MaLOTLCGNpxqwMExERYpfITFhcS
271,483,1298.4656425957166,12,vUqteMvjgSBlIUGGLWMYXFmkQurhjhybPFWxmSU
272,244,569.3152851571248,10,lkhjIsrDvBYOKCwDYmGOiXSCswOLFZzVrmHCMHuZuAV
273,372,919.9052794558659,8,uryhUoVJuHvvrFCxckXrPigkXDoJWJhKTMgjqfAyP
274,422,1279.7697998693268,14,QcYXmAxFQOZlpDmUwjgYnKmSTPwyhYFL
275,243,1028.6822925819656,3,qIXSsmVbdWQYFAvxgZCQAVpnJQmbuibFijiZLMhEfIHZxHwWgG
276,438,363.1837711168812,11,wVVlMjLibyvFBWtahOcNmrsjuSddXLdtTab
277,245,1516.9347689299052,13,jAkpMxIAdfAdNHCCODQkWKTSD
278,370,1244.7538369051836,15,zdSWxgMxGSYxxCBfcKakjdbze
279,260,625.1923089324615,15,IVNGesgozwvUtDqsCuLzIcEwXEqAlCOKRwBuWNGQxEEvucgV
280,226,1022.0643554950972,7,UUtfTPDJYNbZkPOZTaQNRFeLAeKMOotejWaMveLHaKiIWWgF
281,407,1175.7417869883523,2,UOmOoeqApQAJFCTkwqBuSyzAEmDVGqOBr
282,254,590.5995761382774,5,rMVBjIRsQMBysWakxAdTDKBmcFcSiyvhOAQQTOu
283,388,1826.462192983738,6,eohzxfqJjUoqVKkJliYnqxWxyCxlrnqNbQsghjY
284,89,506.6100743887514,9,uNJTLjMTzyneAKSbtlxyHiRPamoyoHYpWztxixcsNjwjZGyd
285,73,1520.068121176685,15,TfaSytCNRjQsWdWtNniuYPZYofFMQWlAyoIizoP
286,292,1959.2043173371053,14,ikgOXMlxODMibPqoGCaGhoizD
287,87,1483.0005011853548,15,ZSlULFtgyOXHUbjbLirQMGjrEgQczSHHQnVncUFhI
288,441,138.76345241417042,13,AJcyzqVgKwJhKJVYXaoiNGPbFNbwBmNzPPMAaZVZZ
289,93,1147.1657346522286,1,cWIILRPNrEjEubFySrEQCJqPhbyYQqbjtRoEgyGU
290,317,135.50798877315668,13,mpYpmVubYlxZSnBfsLOrJgNOAzCxGCLlqANcSeglxyWJ
291,429,1584.2065783979356,2,gMvZuFXcjAEdtQPvmheZMQxBBDgWXgkmfOzvEilSewfQbt
292,259,1702.3237929223837,10,uXrSwChzhuMAUnyNTyJWsyvSDMUQQacEHNLa
293,58,1524.8764127265106,15,RXKrauQUhWTEOVPSrNDUizKHX
294,389,1763.3877329282532,11,BLGKlMQYNzJqeZMDghlbThSLIAFPJKuKjzmnEhKgSiH
